Course Code,Title,Units,Description,Prerequisites
ECN 107,— Neuroeconomics/Reinforcement Learning & Decision Making,(4 units),"Learning Activities:Lecture 3 hour(s), Term Paper.Cross Listing:PSC 133,CGS 107.Grade Mode:Letter.General Education:Social Sciences (SS); Scientific Literacy (SL).",(PSC 100orPSC 100YorPSC 135orARE 100AorECN 100AorECN 100AVorNPB 162orNPB 163); (STA 013orSTA 013YorSTA 100orPSC 103A); or consent of instructor.
ECN 108,— Behavioral & Experimental Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Economics majors.Credit Limitation(s):Not open for credit to students who have previously completed an upper division economics course in behavioral and experimental economics.Grade Mode:Letter.General Education:Social Sciences (SS).",ECN 100BorARE 100B.
ECN 110A,— World Economic History Before the Industrial Revolution,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001Bor ECN 100BV).
ECN 110B,— World Economic History Since the Industrial Revolution,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV).
ECN 110BY,— World Economic History Since the Industrial Revolution,(4 units),"Learning Activities:Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001AorECN 001AVorECN 001AY); (ECN 001BorECN 001BV).
ECN 111A,— Economic History,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001Aor ORECN 001AYorECN 001AV); (ECN 001Bor ECN 001 BV); or consent of instructor.
ECN 111AV,— Economic History,(4 units),"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001Aor ORECN 001AYorECN 001AV); (ECN 001Bor ECN 001 BV); or consent of instructor.
ECN 111AY,— Economic History,(4 units),"Learning Activities:Lecture 1.5 hour(s), Web Virtual Lecture 1.5 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001Aor ORECN 001AYorECN 001AV); (ECN 001Bor ECN 001 BV); or consent of instructor.
ECN 111B,— Economics History,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV); or consent of instructor.
ECN 115A,— Economic Development,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 115A.Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV).
ECN 115B,— Economic Development,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 115B.Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV).
ECN 115BY,— Economic Development,(4 units),"Learning Activities:Lecture 1.50 hour(s), Web Virtual Lecture 1.50 hour(s), Term Paper.Enrollment Restriction(s):Pass One open to Economics, Managerial Economics, and International Relations Majors.Cross Listing:ARE 115BY.Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV).
ECN 116,— Comparative Economic Systems,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:World Cultures (WC).",(ECN 100 orECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B).
ECN 117,— Economics of International Immigration,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors only.Credit Limitation(s):Not open for credit to students who have previously completed an upper division economics course in international immigration.Grade Mode:Letter.",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV).
ECN 121A,— Industrial Organization,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100 orECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B).
ECN 121B,— Industrial Organization,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:American Cultures, Governance, & History (ACGH).",(ECN 100 orECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B);ECN 102.
ECN 122,— Theory of Games & Strategic Behavior,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.ECN 122— Theory of Games & Strategic Behavior (4 units)Course Description:Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields.Prerequisite(s):(MAT 016A C- or better, MAT 016B C- or better, MAT 016C C- or better) or (MAT 017AC- or better,MAT 017BC- or better) or (MAT 019AC- or better,MAT 019BC- or better,MAT 019CC- or better) or (MAT 021AC- or better,MAT 021BC- or better); or consent of instructor.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.This course version is effective from, and including:  Winter Quarter 2026.","(MAT 016A,  MAT 016B) or (MAT 021A,MAT 021B) or (MAT 017A,MAT 017B); or consent of instructor."
ECN 125,— Energy Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics Majors, Energy Systems, Transportation Technology & Policy, and Civil & Environmental Engineering Graduate students and Graduate School of Management.Grade Mode:Letter.General Education:Social Sciences (SS).",ECN 100 orECN 100AorECN 100AVorARE 100A; consent of instructor.
ECN 130,— Public Microeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorARE 100A); (ECN 100BorARE 100B)
ECN 130Y,— Public Microeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B)
ECN 131,— Public Finance,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 100AorECN 100AVorARE 100A); (ECN 100BorARE 100B).
